Boer Goats
1 80.2

1	4
122	26.5
183	37.5
372	47.5
1	3.5
121	26.8
182	38
1	4
121	27.5
182	36
366	53
1	4
137	28.2
196	38.5
377	52
1	3.8
137	27.6
196	38
1	3.8
128	26.4
187	37
368	49
1	3.8
122	26.5
181	36.5
362	50
1	4
131	27.5
195	40
378	52.5
1	3.8
128	27.2
192	38.5
375	51
1	3.8
126	27.5
190	38
373	50
1	4
123	27.8
187	41.5
370	53.5
1	3.8
123	27.5
187	40
370	54
1	3.8
149	28.4
205	38
358	49.5
1	3.5
148	26.8
204	36
387	48.5
1	4
130	29
191	38.5
375	47
1	3
122	28.2
158	36
342	45
1	3.8
128	28.6
188	36
371	49
1	3.5
128	26.5
188	38.5
371	49
1	4.2
127	28.2
187	39.5
370	48.5
1	4
127	28
187	37
370	48
1	4
125	28.6
185	39.5
368	48
1	3.2
123	26.5
184	37
1	3.8
123	27.2
184	39
368	49.5
1	4
126	25.8
182	38
1	3.9
126	29.2
187	38
371	51
1	3.8
128	27.5
189	39
373	48.5
1	4.2
126	28.4
187	40
371	51.1
1	3.5
129	26.1
190	38
343	49.5
1	4
135	28.8
196	43
380	55
1	3.8
130	25.8
191	41
1	3.5
130	25.4
191	42.5
375	53.5
1	4
130	27.6
191	47
375	52.5
1	3.1
88	17.1
1944	65.8
1	2.9
88	15.3
1944	73
1	3.2
88	17.5
1944	72.1
1	3.1
88	17.8
1944	69.8
1	3.2
88	17.3
1944	74.3
1	3.5
88	17.9
1944	72.6
1	3.4
88	18.1
1944	65.9
1	3.2
88	17.1
1944	66.8
1	3.1
88	18.3
1944	70.2
1	3.4
88	16.4
1944	73.2
1	3.1
88	18.3
1944	68.4
1	3.1
88	17.3
1944	74.6
1	2.6
88	16.3
1944	72.8
1	2.2
88	15.9
1944	69.5
1	2.4
88	16.8
1944	67.3
1	2.6
88	18.3
1944	72.5
1	2.4
87	19.1
1943	73.8
1	2.4
87	16.8
1943	66.7
1	2.6
87	17.4
1943	79.2
1	2.4
87	15.9
1943	78.6
1	2.4
87	16.8
1943	72.6
1	2.4
87	17.3
1943	74.8
1	2.5
87	16.4
1943	69.5
1	2.3
87	15.8
1943	66.8
1	2.5
87	15.7
1943	70.4
1	2.2
87	15.8
1943	72.8
1	2.3
87	16.3
1943	72.1
1	2.4
87	17.1
1943	69.8
1	2.3
87	16.3
1943	74.3
1	2.2
87	16.4
1943	72.6
1	4
120	28.2
181	42
368	57
1	2.5
86	16.3
1942	65.9
1	2.4
86	18.2
1942	66.8
1	2.5
86	16.3
1942	68.4
1	2.3
86	16.1
1942	74.6
1	2.2
86	15.5
1942	72.8
1	2.3
86	15.9
1942	69.5
1	2.2
86	16.1
1942	67.3
1	2.3
86	15.8
1942	72.5
1	2.6
86	15.9
1942	73.8
1	3.2
